mood,group,count
happy,happy,23
energetic,happy,13
funny,happy,2
party,happy,1
summer,happy,3
inspiring,happy,1
christmas,happy,10
relaxing,peaceful,10
romantic,peaceful,4
melodic,peaceful,24
background,peaceful,5
ballad,peaceful,12
film,peaceful,1
meditative,peaceful,2
love,peaceful,35
deep,sad,3
dark,sad,1
