song_id,song_name,artist,album,song_popularity,if_info_collected
7pcbx6vNcFmwFBG6Uw4hEm,風入屠蘇 - 新年夜晚,"Yu-Peng Chen, 劉敏, 張江, 雲の泣",《天涯明月刀》遊戲配樂,4,1
7qBT9qcbtkLqrfm9LiTNB4,Piel Canela,Cuco,Piel Canela,66,1
7qCTbAHQpqEq8mvVebW1ED,SUPER,袁娅维TIA RAY,ONCE UPON A MOON (DELUXE EDITION),8,1
7qUTZEf6bgiApJEXpMAH5y,Can't Smile Without You,Barry Manilow,Even Now,60,1
7qXToTdWpvJ3NIHrhxCoJK,Typical Me,Ella Eyre,Feline (Deluxe),22,1
7rC3P7tpWriaC4hYWKwGQd,Hey Lover!,Wabie,Cyclones and Hey Lover,71,1
7rEnIt7Ezevnlyj35gHjX8,Dear Mary,Steve Miller Band,Sailor,20,1
7rSuqMaEloVncVc8RDdoDX,Indie,"Frøkedal, Ost & Kjex",Lulu,25,1
7rU6Iebxzlvqy5t857bKFq,Plastic Love,Mariya Takeuchi,Expressions,63,1
7rWHvYYs1qUdMhBXzlQKaw,不必在乎我是誰,林忆莲Sandy Lam,回憶蓮蓮,36,1
7rw26R5iXU0dHRgpc56FYY,Dizzy,LIVVIA,Dizzy,21,1
7s891wsTioXTfjdMyOquVk,Slow Twistin,Chubby Checker,Twisting The Night Away,0,1
7sLOmnSdgHYeVWLxhBw5Co,Helpless - Interlude,MALIA,Late Bloomer,38,1
7sQKGs82nvqz9bo5BCOdQu,Swimming with Sharks,New Hope Club,Swimming with Sharks,33,1
7sWvR8Qk3DVaAkPqQ637Pq,卑鄙,袁娅维TIA RAY,T.I.A.,16,1
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,84,1
7suMqZTBW9KCG00PXnCKja,Fever,Brasstracks,Fever,29,1
7t8R1u5r5Dau30u6rFcNm0,Everytime,Shane Filan,You And Me (Deluxe Edition),19,1
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,82,1
7uQIwhFwOILVw9CQ1BVXY4,Can't Help Falling In Love - Movie Version,Elvis Presley,1961,4,1
7uU7UhUzfZJ5vEMoemdcIW,Oops (feat. Charlie Puth),"Charlie Puth, Little Mix",Glory Days (Expanded Edition),60,1
7uo5c84OnYHh7XPhYPDIjL,...Long Time Ago,Concrete Blonde,Walking In London,25,1
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,Torches,83,1
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),75,1
7wtEPptOnluWug3Da7Pnio,Brightest Star,Drizabone,Conspiracy,37,1
7x46AiwIPkngCwFAu1OCey,Come And Get Your Love,Redbone,K-tel Presents Redbone - One More Time,28,1
7xNwoZ99JXuGD7DNOsJx70,Big Four,Big Four,The Big Hits Big Four,11,1
7xha3EMJ7Uy5Ch5MePFYS2,Signal Waltz,Linus' Blanket,Labor in Vain,19,1
7xlL6zdWLwcgk8LSmGuFdG,鼓樓,趙雷,無法長大,36,1
7ybd52CorRfQz6aueDDHU0,So Good,Omar Apollo,Friends,41,1
7ygsMXwbqdrrlfyPsRDcXz,Monday,"窦靖童Leah Dou, Lionman",春遊,42,1
7yt2fQUiBcsRoatQidRhpr,Someone Like You,Patti LaBelle,Flame,18,1
7yzbimr8WVyAtBX3Eg6UL9,Hallelujah,Leonard Cohen,Various Positions,62,1
7zSiQkDUUvBqg78LWrkScN,Let the Music Take Me - Remastered Version,Patrice Rushen,Forget Me Nots,8,1
7zeYrGszH4NP3ga71YijpC,You're the One,Brian Culbertson,Secrets,21,1
,Do 4 Luv (2F Remix),"2Pac, Eric Williams",The Remix LP,null,0
,Tonight,3rd Storee,The 3rd Storee,null,0
,乌云中(Live),艾热 AIR,中国新说唱 第9期,null,0
,1975(DEMO),白日密语,1975,null,0
,新宿午前3时25分,北野武,GOLDEN☆BEST,null,0
,It's Your Chance,蔡健雅Tanya Chua,默契 新歌 + 精选,null,0
,迟来的人,蔡琴Tsai Chin,你不要那样看着我的眼睛,null,0
,你不要那样看着我的眼睛,蔡琴Tsai Chin,你不要那样看着我的眼睛,null,0
,我要如何不想他,蔡琴Tsai Chin,不悔,null,0
,Sky High,曾我部惠一,"""COVERS"" FreeTEMPO COVERED ALBUM",null,0
,Flying Pickets - Only You,陈勋奇,堕落天使,null,0
,打孔翘,陈永淘,阿淘的歌,null,0
,Telephone,成龙,无问题(No Problem),null,0
,电影情圣:我在人民广场吃炸鸡,程思佳,电影情圣插曲我在人民广场吃炸鸡,null,0
,島のこども、なる,川井憲次,ばらかもん オリジナル・サウンドトラック,null,0
,继续,崔健,飞狗,null,0
,シ-クレット・デザイア-(Secret Desire(秘语)),"大野雄二, Fujikochans",introducing Fujikochans with Yuji Ohno & Friends,null,0
,With You,窦靖童Leah Dou,With You,null,0
,Blue Moon,二階堂和美,にじみ,null,0
,ケ·セラ·七ラ,二階堂和美,かぐや姫の物語 サウンドトラック,null,0
,一笑中(电视剧《武林外史》主题曲),高正洋,一笑中,null,0
,約束,工藤栄子,白鯨伝説 サウンドトラック,null,0
,Angel baby,牯岭街少年合唱团,牯岭街少年合唱团 同名专辑,null,0
,老手,海龟先生,死不回头,null,0
,一幅画,胡德夫,时光,null,0
,ciao!,菅野よう子,攻殻機動隊 STAND ALONE COMPLEX 「be Human」,null,0
,CRESCENT AVENTURE(新月奇遇),角松敏生,WEEKEND FLY TO THE SUN,null,0
,Off Shore,角松敏生,ON THE CITY SHORE,null,0
,SUMMER EMOTIONS,角松敏生,SUMMER TIME ROMANCE～FROM KIKI,null,0
,There You'll Be 有你相依,金池,RTL Winterdreams 2007,null,0
,被你抱着,京赜,被你抱着,null,0
,老友 2019 LIVE,鲸鱼马戏团,2019 X面Y面 巡演录音,null,0
,Summer(电影《菊次郎的夏天》主题曲),久石让,ENCORE,null,0
,南国之舞,梁翘柏,失忆年代：被遗忘的一把手术刀,null,0
,南方,林生祥,野生,null,0
,种树,林生祥,总经销片馆-世界音乐系列-种树,null,0
,Ariana Grande-One Last Time,刘威,容易见时难,null,0
,莲花,龙宽九段,我听这种乐的时候最爱你,null,0
,胃在烧,龙宽九段,乐队的夏天3 第7期,null,0
,我听这种乐的时候最爱你,龙宽九段,我听这种乐的时候最爱你,null,0
,ロ-ラ-スケ-ト☆ドリ-ム2(旱冰鞋梦想2),木テル二ュ-ト-キョ-,海,null,0
,Swim,抛,爱,null,0
,タクシ-・ドライヴア-(出租车司机(Taxi Driver)),坪倉唯子,Loving You,null,0
,Obstruction '77,靑 佐藤直紀,フジテレビ系ドラマ WATER BOYS TV オリジナル・サウンドトラック,null,0
,皮囊,犬儒乐队,犬儒,null,0
,避雨,任然,任然,null,0
,More~Fly Me To The Moon~Moon River,森田叶月&森川七月,Jazz Cover,null,0
,青岛小嫚,沙洲,完美星开幕 第四期,null,0
,DAYDREAM,山下達郎,Ride On Time,null,0
,潮騒(English Version),山下達郎,GO AHEAD!,null,0
,Hey There Lonely Girl,山下達郎,It's a Poppin' Time(イッツ・ア・ポッピン・タイム),null,0
,ポケット・ミュ-ジック(POCKET MUSIC),山下達郎,POCKET MUSIC,null,0
,alone(2022 Remaster)(孤独),杉山清贵,beyond... -35th Anniversary Edition-,null,0
,吹梦到西洲(四合院版本),四只烤翅,《吹梦到西洲》(四合院版本),null,0
,请将音量收细,苏永康William So,So I Sing 08 Live,null,0
,你在终点等我,王菲Faye Wong,你在终点等我,null,0
,Don't Break My Heart (Live),王菲Faye Wong,Don't Break My Heart,null,0
,夜一青春,王睿,夜一青春,null,0
,你的一生我只借一晚,吴遥,null,null,0
,メドレ,"細野晴臣, 鈴木茂, 山下達郎",PACIFIC,null,0
,小鸟,现代人,红色摇滚,null,0
,团结一心讨打工钱,小兵大恒,我的吉他会唱歌,null,0
,月灯りふんわり落ちてくる夜(月光轻轻飘落的夜晚),小川七生,クレヨンしんちゃんスーパーベスト 30曲入りだゾ,null,0
,南海姑娘,谢颖,忘忧草,null,0
,西湖月圆,新乐府,新乐府|评弹 - 腔调,null,0
,玉簪记·琴挑·懒画眉,新乐府,新乐府|昆曲 - 悠游,null,0
,日后相遇,新学校废物台唱团,新学校废物合唱团精选集,null,0
,マリンプル-の恋人達(海蓝色的恋人们),兄島末散,MICHILLE,null,0
,说爱你1996,羊真闲,90s Remix：说爱你1996,null,0
,Melody Remix,"杨延辉, 齐悦, 张佳伦",ZZZzzz,null,0
