genre,count
pop,47
rock,27
electronic,18
poprock,10
funk,9
jazz,5
disco,4
classical,4
soundtrack,3
popfolk,3
lounge,3
hiphop,3
reggae,2
folk,2
easylistening,2
chillout,2
soul,1
house,1
dance,1
country,1
blues,1
alternative,1
